file_name,aspect_ratio,ink_density,components,peaks,solidity,target_letters
Image 1.png,3.15,0.1597,2,8,0.2231,6
Image 10.png,2.39,0.1206,1,10,0.1882,6
Image 1023.png,5.88,0.1175,1,18,0.1649,14
Image 1065.png,2.68,0.1709,1,7,0.221,5
Image 11.png,2.91,0.1192,2,9,0.169,8
Image 136.png,4.44,0.1148,1,17,0.1705,10
Image 137.png,5.38,0.1575,1,14,0.198,8
Image 138.png,5.41,0.1553,1,12,0.2211,8
Image 139.png,3.39,0.1683,1,7,0.2475,6
Image 140.png,6.69,0.1066,1,22,0.1656,16
Image 141.png,6.0,0.2725,1,10,0.3036,5
Image 142.png,3.69,0.1122,1,15,0.1767,9
Image 15.png,2.46,0.1643,1,5,0.2359,5
Image 1554.png,2.05,0.2878,1,3,0.3489,2
Image 16.png,6.73,0.161,1,17,0.2239,10
Image 1660.png,2.62,0.1472,1,4,0.19,7
Image 17.png,5.66,0.1529,1,16,0.2208,9
Image 1858.png,2.3,0.2761,1,4,0.3423,2
Image 192.png,3.17,0.1761,2,8,0.2459,5
Image 193.png,8.39,0.2014,1,17,0.2531,10
Image 194.png,5.23,0.1319,2,16,0.1931,10
Image 195.png,7.75,0.2781,1,12,0.3031,7
Image 2.png,6.15,0.2817,1,9,0.3134,5
Image 2081.png,3.22,0.1656,1,9,0.2374,5
Image 2096.png,7.58,0.1065,2,28,0.149,18
Image 211.png,8.67,0.1148,1,29,0.1577,21
Image 22.png,4.29,0.1561,1,9,0.2244,7
Image 23.png,3.26,0.1698,1,8,0.2432,6
Image 24.png,2.89,0.1562,1,8,0.2229,4
Image 246.png,4.32,0.1638,1,11,0.2315,7
Image 247.png,4.76,0.1533,1,14,0.2155,7
Image 248.png,8.59,0.1583,1,22,0.2171,14
Image 249.png,3.35,0.1728,1,5,0.1969,5
Image 25.png,4.34,0.1314,2,14,0.1953,8
Image 250.png,3.85,0.1126,1,13,0.1795,9
Image 251.png,3.32,0.1883,1,5,0.2551,6
Image 252.png,3.87,0.1114,1,15,0.1711,9
Image 2792.png,10.2,0.1055,1,37,0.1251,23
Image 2794.png,6.0,0.1126,1,21,0.1598,13
Image 2795.png,6.48,0.134,1,21,0.1979,13
Image 2800.png,6.91,0.1151,1,23,0.1657,17
Image 3.png,4.08,0.1614,1,8,0.2288,7
Image 3016.png,2.9,0.2871,1,3,0.3327,2
Image 3043.png,2.0,0.2064,1,1,0.2795,3
Image 3115.png,2.78,0.1818,1,5,0.2284,5
Image 3121.png,1.73,0.1871,1,4,0.2796,3
Image 3130.png,3.03,0.1482,1,7,0.2208,4
Image 3164.png,3.6,0.2965,1,4,0.3408,3
Image 3165.png,4.35,0.2966,1,5,0.3423,4
Image 3201.png,2.36,0.1954,1,4,0.251,4
Image 3210.png,2.38,0.1997,1,4,0.2588,4
Image 3397.png,3.32,0.169,1,5,0.2452,5
Image 3399.png,3.19,0.1761,1,6,0.2488,5
Image 3406.png,2.05,0.1818,2,4,0.2437,4
Image 3409.png,3.1,0.2871,1,4,0.3312,3
Image 3416.png,3.43,0.1571,2,10,0.207,5
Image 3430.png,1.78,0.1646,1,3,0.212,5
Image 3432.png,11.84,0.1565,1,31,0.1851,17
Image 3471.png,7.2,0.1281,2,22,0.1888,13
Image 3475.png,1.7,0.1544,1,4,0.249,3
Image 3478.png,3.68,0.1838,1,5,0.2494,5
Image 3483.png,2.78,0.1818,1,5,0.2284,5
Image 3494.png,4.0,0.2819,1,6,0.3215,3
Image 3510.png,2.54,0.1794,1,6,0.2606,4
Image 3561.png,1.41,0.1325,1,2,0.2174,4
Image 3609.png,2.38,0.1843,1,4,0.2729,4
Image 3623.png,1.79,0.1645,1,5,0.2451,3
Image 3712.png,3.04,0.132,1,6,0.1847,8
Image 3716.png,1.79,0.174,1,3,0.2497,3
Image 3753.png,6.53,0.1059,1,27,0.1637,15
Image 3821.png,6.25,0.1146,1,21,0.1713,15
Image 3925.png,2.75,0.2609,1,2,0.3081,2
Image 3975.png,3.78,0.1233,2,12,0.1898,9
Image 3976.png,3.27,0.1367,3,11,0.2048,6
Image 3977.png,3.91,0.1122,1,14,0.1634,9
Image 3978.png,2.81,0.1822,1,7,0.2254,5
Image 3979.png,5.3,0.2741,1,8,0.306,4
Image 3980.png,2.84,0.1757,1,7,0.2554,5
Image 3981.png,5.68,0.1625,1,13,0.2126,9
Image 3984.png,8.89,0.1594,1,22,0.1979,14
Image 4.png,4.08,0.1503,1,10,0.2154,6
Image 428.png,6.11,0.1636,1,12,0.2005,10
Image 429.png,4.74,0.1632,2,13,0.2256,8
Image 430.png,10.45,0.2892,1,13,0.3141,9
Image 431.png,4.36,0.1278,2,16,0.1933,8
Image 502.png,4.32,0.1688,1,9,0.2383,7
Image 503.png,3.78,0.1811,1,6,0.2321,6
Image 504.png,2.82,0.1272,1,8,0.186,7
Image 561.png,3.33,0.1771,1,2,0.2063,6
Image 564.png,2.8,0.1149,1,9,0.1842,7
Image 570.png,3.86,0.1805,1,8,0.2506,6
Image 571.png,5.62,0.1706,3,9,0.1965,10
Image 572.png,6.36,0.1578,2,13,0.1692,10
Image 573.png,4.61,0.1094,2,14,0.1485,11
Image 574.png,4.97,0.1555,1,12,0.2224,8
Image 575.png,6.32,0.1405,2,16,0.1873,12
Image 576.png,2.14,0.1755,1,4,0.2569,4
Image 8.png,5.16,0.1065,1,20,0.1528,12
Image 832.png,9.73,0.1089,1,35,0.154,24
Image 9.png,5.31,0.1568,2,14,0.2003,9
